User,MJadhav
Module_SN,20UPGB42000068,FE_Chip,14B8D
RoomTemp (C),20.5,RelHumidity [%],43
CurrentCompliance (uA),100.0,VoltageStep (V),5.0
WaitTime (s),2.0,Naveraging,10
StartTime,07142023-120815,StopTime,07142023-122742
Start Time,V_Bias (V),I_leakage (nA),I_Uncertainty (nA),I_readAvg (nA)
07142023-120815,0.0,15.0,0.0,[15. 15. 15. 15. 15. 15. 15. 15. 15. 15.]
07142023-120841,4.7,95.5,4.716990566028302,[ 95.  90. 100.  90. 100. 105.  95.  95.  90.  95.]
07142023-120909,9.7,128.5,3.2015621187164243,[130. 130. 130. 125. 135. 130. 130. 125. 125. 125.]
07142023-120938,14.7,149.5,1.5,[145. 150. 150. 150. 150. 150. 150. 150. 150. 150.]
07142023-121010,19.8,150.0,0.0,[150. 150. 150. 150. 150. 150. 150. 150. 150. 150.]
07142023-121039,24.7,155.0,0.0,[155. 155. 155. 155. 155. 155. 155. 155. 155. 155.]
07142023-121107,29.8,159.0,2.0,[155. 160. 155. 160. 160. 160. 160. 160. 160. 160.]
07142023-121136,34.8,160.0,0.0,[160. 160. 160. 160. 160. 160. 160. 160. 160. 160.]
07142023-121204,39.8,160.0,0.0,[160. 160. 160. 160. 160. 160. 160. 160. 160. 160.]
07142023-121233,44.8,163.0,2.449489742783178,[165. 165. 160. 165. 160. 160. 160. 165. 165. 165.]
07142023-121301,49.9,164.0,2.0,[165. 165. 160. 165. 165. 165. 165. 165. 165. 160.]
07142023-121329,54.8,165.0,0.0,[165. 165. 165. 165. 165. 165. 165. 165. 165. 165.]
07142023-121358,59.8,165.0,0.0,[165. 165. 165. 165. 165. 165. 165. 165. 165. 165.]
07142023-121426,64.7,169.5,1.5,[170. 170. 170. 170. 170. 165. 170. 170. 170. 170.]
07142023-121455,69.8,170.5,1.5,[170. 170. 170. 175. 170. 170. 170. 170. 170. 170.]
07142023-121523,74.8,175.0,0.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07142023-121551,79.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-121620,84.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-121649,89.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-121717,94.8,199.0,2.0,[200. 200. 200. 195. 200. 200. 200. 195. 200. 200.]
07142023-121746,99.9,206.5,2.29128784747792,[205. 210. 205. 205. 205. 205. 205. 210. 210. 205.]
07142023-121814,104.9,218.0,2.449489742783178,[220. 220. 220. 215. 220. 220. 215. 215. 220. 215.]
07142023-121842,109.9,230.0,0.0,[230. 230. 230. 230. 230. 230. 230. 230. 230. 230.]
07142023-121911,114.8,242.0,2.449489742783178,[240. 240. 245. 240. 245. 245. 240. 240. 245. 240.]
07142023-121939,119.8,257.0,2.449489742783178,[255. 260. 260. 260. 255. 255. 260. 255. 255. 255.]
07142023-122007,124.8,274.0,2.0,[275. 270. 275. 275. 270. 275. 275. 275. 275. 275.]
07142023-122036,129.9,289.5,1.5,[290. 290. 285. 290. 290. 290. 290. 290. 290. 290.]
07142023-122105,134.8,304.5,1.5,[305. 305. 300. 305. 305. 305. 305. 305. 305. 305.]
07142023-122133,139.9,324.5,1.5,[325. 325. 325. 325. 325. 325. 325. 325. 325. 320.]
07142023-122201,144.9,340.0,0.0,[340. 340. 340. 340. 340. 340. 340. 340. 340. 340.]
07142023-122230,149.9,358.0,2.449489742783178,[360. 355. 360. 355. 360. 355. 355. 360. 360. 360.]
07142023-122258,154.9,376.5,2.29128784747792,[375. 375. 375. 375. 375. 380. 380. 375. 380. 375.]
07142023-122327,160.0,395.5,1.5,[395. 395. 400. 395. 395. 395. 395. 395. 395. 395.]
07142023-122355,164.9,408.5,2.29128784747792,[405. 410. 405. 410. 410. 410. 410. 410. 405. 410.]
07142023-122424,169.9,425.0,0.0,[425. 425. 425. 425. 425. 425. 425. 425. 425. 425.]
07142023-122452,175.0,445.0,0.0,[445. 445. 445. 445. 445. 445. 445. 445. 445. 445.]
07142023-122521,179.9,464.5,1.5,[465. 460. 465. 465. 465. 465. 465. 465. 465. 465.]
07142023-122549,185.0,485.0,0.0,[485. 485. 485. 485. 485. 485. 485. 485. 485. 485.]
07142023-122617,190.0,504.0,2.0,[500. 505. 505. 505. 500. 505. 505. 505. 505. 505.]
07142023-122645,194.9,523.0,2.449489742783178,[525. 525. 525. 525. 520. 520. 520. 520. 525. 525.]
07142023-122713,199.9,541.0,2.0,[540. 540. 540. 545. 540. 540. 540. 545. 540. 540.]
