User,MJadhav
Module_SN,20UPGB42000070,FE_Chip,14BB3
RoomTemp (C),20.7,RelHumidity [%],42
CurrentCompliance (uA),100.0,VoltageStep (V),5.0
WaitTime (s),2.0,Naveraging,10
StartTime,07142023-093613,StopTime,07142023-095539
Start Time,V_Bias (V),I_leakage (nA),I_Uncertainty (nA),I_readAvg (nA)
07142023-093613,0.0,15.0,0.0,[15. 15. 15. 15. 15. 15. 15. 15. 15. 15.]
07142023-093639,4.7,110.0,0.0,[110. 110. 110. 110. 110. 110. 110. 110. 110. 110.]
07142023-093710,9.7,160.5,1.5,[160. 160. 160. 160. 160. 160. 160. 160. 160. 165.]
07142023-093739,14.7,175.5,1.5,[175. 175. 175. 175. 175. 175. 175. 175. 180. 175.]
07142023-093808,19.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-093836,24.7,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-093905,29.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-093933,34.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-094001,39.9,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-094030,44.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-094058,49.9,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-094126,54.8,181.0,2.0,[185. 185. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-094154,59.8,181.5,2.29128784747792,[180. 185. 180. 180. 180. 180. 185. 180. 185. 180.]
07142023-094223,64.8,184.0,2.0,[185. 185. 185. 185. 180. 185. 185. 185. 180. 185.]
07142023-094251,69.8,184.5,1.5,[185. 185. 185. 185. 180. 185. 185. 185. 185. 185.]
07142023-094320,74.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-094348,79.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-094416,84.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-094445,89.9,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-094513,94.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-094542,99.9,187.5,2.5,[185. 185. 190. 190. 190. 190. 185. 185. 190. 185.]
07142023-094610,104.9,188.0,2.449489742783178,[185. 190. 190. 190. 185. 190. 190. 185. 185. 190.]
07142023-094639,109.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094708,114.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094736,119.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094805,124.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094833,129.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094902,134.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094930,139.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-094959,144.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-095027,150.0,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-095055,154.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-095124,160.0,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-095152,165.0,190.5,1.5,[190. 190. 195. 190. 190. 190. 190. 190. 190. 190.]
07142023-095220,169.9,192.0,2.449489742783178,[195. 190. 190. 190. 190. 195. 190. 190. 195. 195.]
07142023-095248,175.0,192.0,2.449489742783178,[190. 195. 190. 195. 190. 190. 190. 190. 195. 195.]
07142023-095317,179.9,195.0,0.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07142023-095346,185.0,193.5,2.29128784747792,[195. 195. 190. 195. 190. 195. 195. 190. 195. 195.]
07142023-095414,190.0,195.0,0.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07142023-095442,194.9,195.0,0.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07142023-095510,199.9,195.0,0.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
