User,MJadhav
Module_SN,20UPGB42000070,FE_Chip,14BB3
RoomTemp (C),20.7,RelHumidity [%],42
CurrentCompliance (uA),100.0,VoltageStep (V),5.0
WaitTime (s),2.0,Naveraging,10
StartTime,07142023-095818,StopTime,07142023-101741
Start Time,V_Bias (V),I_leakage (nA),I_Uncertainty (nA),I_readAvg (nA)
07142023-095818,0.0,15.0,0.0,[15. 15. 15. 15. 15. 15. 15. 15. 15. 15.]
07142023-095843,4.7,135.0,0.0,[135. 135. 135. 135. 135. 135. 135. 135. 135. 135.]
07142023-095914,9.7,160.0,0.0,[160. 160. 160. 160. 160. 160. 160. 160. 160. 160.]
07142023-095943,14.7,175.0,0.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07142023-100012,19.7,175.0,0.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07142023-100040,24.7,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100109,29.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100137,34.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100205,39.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100233,44.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100302,49.9,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100330,54.8,180.0,0.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07142023-100358,59.8,182.0,2.449489742783178,[185. 180. 185. 180. 180. 180. 185. 180. 185. 180.]
07142023-100426,64.8,183.5,2.29128784747792,[185. 185. 185. 185. 180. 180. 185. 185. 185. 180.]
07142023-100455,69.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-100523,74.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-100552,79.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-100620,84.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-100649,89.9,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-100717,94.8,185.0,0.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07142023-100745,99.9,187.0,2.449489742783178,[190. 185. 190. 185. 190. 185. 190. 185. 185. 185.]
07142023-100814,104.8,187.0,2.449489742783178,[185. 185. 190. 185. 185. 190. 190. 185. 190. 185.]
07142023-100842,109.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-100911,114.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-100939,119.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101007,124.8,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101036,129.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101104,134.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101132,139.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101201,144.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101229,150.0,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101258,154.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101326,160.0,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101354,165.0,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101422,169.9,190.0,0.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07142023-101451,175.0,191.5,2.29128784747792,[195. 190. 190. 195. 195. 190. 190. 190. 190. 190.]
07142023-101519,179.9,192.0,2.449489742783178,[190. 190. 195. 190. 190. 190. 190. 195. 195. 195.]
07142023-101547,185.0,193.0,2.449489742783178,[195. 190. 195. 190. 195. 195. 195. 195. 190. 190.]
07142023-101616,190.0,194.0,2.0,[195. 190. 195. 190. 195. 195. 195. 195. 195. 195.]
07142023-101644,194.9,194.5,1.5,[195. 195. 195. 195. 190. 195. 195. 195. 195. 195.]
07142023-101713,199.9,195.0,0.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
