User,MJadhav
Module_SN,20UPGB42000071,FE_Chip,14BA2
RoomTemp,20.8,RelHumidity,43.4
CurrentCompliance,100.0,VoltageStep,5.0,Naveraging,10
Start Time,V_Bias,I_leakage,I_read
07122023-204624,0.0,15.0,[15. 15. 15. 15. 15. 15. 15. 15. 15. 15.]
07122023-204649,4.7,125.0,[125. 125. 125. 125. 125. 125. 125. 125. 125. 125.]
07122023-204719,9.7,150.0,[150. 150. 150. 150. 150. 150. 150. 150. 150. 150.]
07122023-204748,14.7,155.0,[155. 155. 155. 155. 155. 155. 155. 155. 155. 155.]
07122023-204818,19.7,160.0,[160. 160. 160. 160. 160. 160. 160. 160. 160. 160.]
07122023-204846,24.7,160.0,[160. 160. 160. 160. 160. 160. 160. 160. 160. 160.]
07122023-204915,29.8,162.0,[160. 160. 160. 165. 160. 160. 165. 165. 160. 165.]
07122023-204943,34.8,165.0,[165. 165. 165. 165. 165. 165. 165. 165. 165. 165.]
07122023-205011,39.8,165.0,[165. 165. 165. 165. 165. 165. 165. 165. 165. 165.]
07122023-205040,44.8,168.0,[170. 170. 165. 165. 170. 170. 165. 165. 170. 170.]
07122023-205108,49.9,170.0,[170. 170. 170. 170. 170. 170. 170. 170. 170. 170.]
07122023-205137,54.8,170.0,[170. 170. 170. 170. 170. 170. 170. 170. 170. 170.]
07122023-205205,59.8,170.0,[170. 170. 170. 170. 170. 170. 170. 170. 170. 170.]
07122023-205234,64.7,170.0,[170. 170. 170. 170. 170. 170. 170. 170. 170. 170.]
07122023-205303,69.8,175.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07122023-205331,74.8,175.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07122023-205400,79.8,175.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07122023-205428,84.8,175.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07122023-205457,89.8,175.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07122023-205525,94.8,177.5,[175. 180. 180. 175. 175. 180. 180. 175. 175. 180.]
07122023-205554,99.9,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205622,104.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205650,109.9,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205719,114.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205747,119.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205816,124.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205844,129.9,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-205912,134.8,181.5,[180. 180. 180. 180. 180. 185. 185. 180. 180. 185.]
07122023-205941,139.9,184.5,[185. 185. 185. 180. 185. 185. 185. 185. 185. 185.]
07122023-210010,144.9,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210038,150.0,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210106,154.9,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210135,160.0,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210203,164.9,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210232,169.9,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210300,174.9,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210329,179.9,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-210357,185.0,185.5,[185. 185. 185. 185. 185. 190. 185. 185. 185. 185.]
07122023-210425,190.0,187.5,[185. 190. 190. 185. 185. 190. 190. 185. 190. 185.]
07122023-210454,194.9,189.0,[190. 190. 190. 185. 190. 185. 190. 190. 190. 190.]
07122023-210522,199.9,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
