User,MJadhav
Module_SN,20UPGB42000073,FE_Chip,14B9B
RoomTemp,20.8,RelHumidity,43.4
CurrentCompliance,100.0,VoltageStep,5.0,Naveraging,10
Start Time,V_Bias,I_leakage,I_read
07122023-194436,0.0,15.0,[15. 15. 15. 15. 15. 15. 15. 15. 15. 15.]
07122023-194502,4.7,115.0,[115. 115. 115. 115. 115. 115. 115. 115. 115. 115.]
07122023-194532,9.7,150.0,[150. 150. 150. 150. 150. 150. 150. 150. 150. 150.]
07122023-194601,14.6,172.0,[170. 170. 170. 175. 170. 170. 175. 175. 170. 175.]
07122023-194630,19.7,175.0,[175. 175. 175. 175. 175. 175. 175. 175. 175. 175.]
07122023-194658,24.7,178.5,[175. 180. 180. 175. 175. 180. 180. 180. 180. 180.]
07122023-194727,29.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-194756,34.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-194824,39.8,180.0,[180. 180. 180. 180. 180. 180. 180. 180. 180. 180.]
07122023-194853,44.8,180.5,[180. 180. 180. 180. 185. 180. 180. 180. 180. 180.]
07122023-194921,49.9,182.0,[180. 180. 180. 180. 185. 185. 180. 185. 180. 185.]
07122023-194950,54.8,184.5,[185. 185. 185. 180. 185. 185. 185. 185. 185. 185.]
07122023-195018,59.8,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-195047,64.7,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-195115,69.8,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-195143,74.8,185.0,[185. 185. 185. 185. 185. 185. 185. 185. 185. 185.]
07122023-195212,79.8,186.0,[185. 190. 185. 185. 185. 185. 185. 190. 185. 185.]
07122023-195240,84.8,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07122023-195309,89.8,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07122023-195337,94.8,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07122023-195405,99.9,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07122023-195434,104.8,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07122023-195503,109.9,190.0,[190. 190. 190. 190. 190. 190. 190. 190. 190. 190.]
07122023-195531,114.7,192.5,[190. 195. 190. 190. 195. 195. 190. 195. 195. 190.]
07122023-195559,119.8,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195628,124.8,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195657,129.9,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195725,134.8,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195753,139.9,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195821,144.9,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195850,149.9,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195919,154.9,195.0,[195. 195. 195. 195. 195. 195. 195. 195. 195. 195.]
07122023-195947,160.0,197.5,[195. 200. 195. 200. 200. 200. 195. 200. 195. 195.]
07122023-200015,164.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200044,169.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200113,174.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200141,179.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200209,184.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200238,189.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200306,194.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
07122023-200335,199.9,200.0,[200. 200. 200. 200. 200. 200. 200. 200. 200. 200.]
